vertex1,vertex2,algorithm,time_ns,relaxed_edges,distance
2459845082,60114593,D,77178250,131225,4895.0
2459845082,60114593,CH,3853875,315,4895.0
282249643,3060707281,D,297082750,546539,19593.0
282249643,3060707281,CH,6523208,451,19593.0
401288229,3575174894,D,95568416,167990,7655.0
401288229,3575174894,CH,3533834,273,7655.0
653945614,252127996,D,317060208,574960,19514.0
653945614,252127996,CH,5917875,440,19514.0
1215232033,2332905600,D,247143458,445277,9473.0
1215232033,2332905600,CH,6232250,482,9473.0
1624098746,1071187338,D,26994250,35720,2444.0
1624098746,1071187338,CH,2920875,277,2444.0
3431396238,1618989142,D,55472083,98305,2768.0
3431396238,1618989142,CH,4391250,385,2768.0
1722795189,2332905642,D,12727750,13172,1179.0
1722795189,2332905642,CH,2171625,225,1179.0
1298917143,2918514687,D,280712958,546500,21548.0
1298917143,2918514687,CH,4146916,226,21548.0
1179646579,281411797,D,80701958,137932,5256.0
1179646579,281411797,CH,4727875,380,5256.0
3770730380,30362667,D,300720334,559316,20851.0
3770730380,30362667,CH,5671292,374,20851.0
5312677630,253265635,D,155546166,310456,13881.0
5312677630,253265635,CH,5466125,431,13881.0
1902130935,1105172950,D,251054125,472836,17170.0
1902130935,1105172950,CH,6001417,395,17170.0
271750682,190717168,D,186095709,351495,9672.0
271750682,190717168,CH,7237584,548,9672.0
84460314,1164867530,D,304432583,553700,19802.0
84460314,1164867530,CH,6680875,488,19802.0
882222774,30562204,D,288091958,505995,15378.0
882222774,30562204,CH,6656000,428,15378.0
444921085,1137710983,D,8624875,8865,1442.0
444921085,1137710983,CH,2525125,238,1442.0
367041624,3855245465,D,192470208,356886,12617.0
367041624,3855245465,CH,4964750,372,12617.0
321584994,1096075369,D,256160375,435206,16824.0
321584994,1096075369,CH,6985875,467,16824.0
3679368398,1195412536,D,239524333,432594,17072.0
3679368398,1195412536,CH,6861291,435,17072.0
2224879751,523191467,D,163731750,294502,8603.0
2224879751,523191467,CH,4183500,255,8603.0
321642125,490369806,D,85431958,143632,7462.0
321642125,490369806,CH,5453584,418,7462.0
1568223342,311607329,D,185014958,341680,8938.0
1568223342,311607329,CH,5638625,367,8938.0
35502372,1571928226,D,254680500,462057,18822.0
35502372,1571928226,CH,5637000,437,18822.0
2298023410,2481018499,D,174147916,320459,9667.0
2298023410,2481018499,CH,5589416,378,9667.0
872697586,279387020,D,296582208,556159,20731.0
872697586,279387020,CH,5501667,382,20731.0
1148776913,303794342,D,144786792,255658,10174.0
1148776913,303794342,CH,4478166,335,10174.0
1483749243,344580036,D,40883167,66116,3434.0
1483749243,344580036,CH,3440542,300,3434.0
201409948,1841938018,D,347738209,545207,15878.0
201409948,1841938018,CH,6285792,408,15878.0
